NAME,GEOID,NDI,pct_poverty,pct_noHS,pct_FHH,pct_mgmt,pct_crowd,pct_pubassist,pct_unempl,pct_under30K
"Chautauqua County, Kansas",20019,0.1949126002473871,0.17034128662035639,0.1267375306623058,0.17280453257790368,0.31560028756290437,0.02482758620689655,0.13517241379310344,0.08494533221194281,0.3717241379310345
"Morton County, Kansas",20129,-0.7675094873124593,0.07407407407407407,0.140807651434644,0.1609353507565337,0.36808340016038493,0,0.017905102954341987,0.03642987249544627,0.3437779767233662
"Reno County, Kansas",20155,-0.33265046503942863,0.13319937560197948,0.12137123823182439,0.13356949364450926,0.3151550137525892,0.029219224014050773,0.1297700782372665,0.047719220549158545,0.2757863643621268
"Cloud County, Kansas",20029,-0.5424087032984244,0.12085116225280444,0.08556853710712523,0.17663954044997607,0.33099547511312216,0.002592016588906169,0.08709175738724728,0.05073891625615764,0.29963711767755313
"Scott County, Kansas",20171,-1.237454162904724,0.023031050791692372,0.15847165674913874,0.029367469879518073,0.38136942675159236,0.030123456790123456,0.04246913580246914,0.044511668107173726,0.16444444444444445
"Doniphan County, Kansas",20043,-0.5207683722513187,0.14635187028872138,0.09970384995064166,0.07521826729348556,0.2928938124831127,0.013888888888888888,0.09556878306878307,0.03798947983635301,0.3098544973544973
"Haskell County, Kansas",20081,-0.27630539425269385,0.127,0.30871136089923723,0.05541346973572037,0.2939030745179781,0.06696764484574869,0.02784048156508653,0.02185792349726776,0.23551542513167795
"Lane County, Kansas",20101,-0.851249977206374,0.12822085889570553,0.044642857142857144,0.045454545454545456,0.32231404958677684,0.007623888182973317,0.08132147395171538,0.026683608640406607,0.3468869123252859
"Neosho County, Kansas",20133,-0.09685947968226295,0.17457463884430177,0.0847063203946756,0.21811829298727228,0.29706651976311804,0.020356234096692113,0.13441101631492292,0.03409600717810678,0.34964825624906454
"Brown County, Kansas",20013,-0.5377994289180705,0.14219895287958115,0.07398349128706817,0.20146222583265638,0.31877532642953627,0.01767418032786885,0.1019467213114754,0.03201058201058201,0.2617827868852459
"Phillips County, Kansas",20147,-0.977918548722038,0.09695709695709696,0.07407407407407407,0.058299595141700404,0.34335744194899126,0.02877697841726619,0.07363520947947524,0.02679307502061006,0.2670334320778671
"Riley County, Kansas",20161,-0.557593498547991,0.21612263575350824,0.04230748903334919,0.15073205856468516,0.386628733997155,0.03009606724707295,0.059216451516061246,0.053025302530253025,0.29154157910537376
"Decatur County, Kansas",20039,-0.6094035498601933,0.1861626248216833,0.08703703703703704,0.052336448598130844,0.31921110299488675,0.005383580080753701,0.09488559892328398,0.02478017585931255,0.319650067294751
"Jefferson County, Kansas",20087,-1.0783238654919152,0.07986223226778603,0.06486241306319927,0.07636197857305675,0.3294285088679658,0.01013157894736842,0.07013157894736842,0.054197782303688616,0.18578947368421053
"Butler County, Kentucky",21031,0.5682760901650001,0.19399742516897328,0.21901056142301278,0.20542082738944364,0.2751961375980688,0.02321857485988791,0.15812650120096078,0.06256266292360137,0.3686949559647718
"Edmonson County, Kentucky",21061,0.5533082634832707,0.1875,0.2099827882960413,0.12417437252311757,0.267153607791058,0.024969300040933277,0.1602537863282849,0.09129332206255283,0.36614817846909536
"Harrison County, Kentucky",21097,0.10905378405125324,0.17205536407899777,0.16596899224806202,0.14940378770166005,0.255069506440505,0.0170653238215135,0.14701356833123513,0.05014979809821545,0.3130507763323542
"Bracken County, Kentucky",21023,0.20303143669363044,0.19084712755598832,0.1512307419868957,0.12876579203109814,0.2689287717330342,0.0180633698549008,0.1593129997038792,0.0592363840539023,0.3491264435889843
